3000 1
53.12 19.05 12
52.95 17.3 3
54.32 22.31 13
53.49 22.74 1
49.65 21.17 28
51.03 18.43 2
52.73 15.24 12
52.42 19.47 18
51.88 17.01 20
54.05 15.65 2
51.44 15.1 3
51.67 16.55 12
51.97 21.21 11
54.27 20.48 4
53.2 19.64 1
51.5 18.12 1
53.65 22.45 22
50.7 17.38 8
52.11 20.62 28
52.23 16.37 13
51.87 20.87 15
53.49 18.78 98
49.62 20.95 5
53.92 15.2 16
53.25 14.49 21
51.03 15.42 6
51.95 14.72 16
52.73 23.57 21
52.23 21.35 3
54.61 18.81 3
50.82 23.88 18
53.6 19.57 32
51.5 15.21 3
51.16 21.24 5
50.15 19.19 8
52.79 18.26 75
53.44 15.55 2
49.57 21.79 1
52.42 18.76 2
53.39 19.16 3
52.75 18.1 9
52.76 17.49 4
50.7 22.4 11
51.97 17.5 26
50.02 22.68 39
51.75 15.02 4
49.75 21.47 36
54.7 18.68 3
53.42 16.82 8
49.95 18.58 92
51.05 16.18 23
50.2 19.27 94
50.92 16.43 5
49.72 21.65 5
50.72 16.34 5
53.29 22.3 1
51.03 17.33 15
50.9 15.73 84
53.98 20.75 3
50.63 20.3 16
49.67 19.83 5
50.48 23.05 2
52.14 21.24 20
51.65 17.17 1
50.57 18.88 8
51.76 18.08 10
53.28 15.9 4
49.87 19.68 4
52.21 21.81 2
50.82 16.05 20
53.53 17.53 2
53.97 14.79 9
51.2 19.5 2
50 22.4 3
52.08 21.25 10
52.07 15.87 3
54.03 15.87 5
50.78 15.76 4
54.33 18.2 14
50.25 19 30
51.32 21.95 3
50.27 20.48 5
51.03 16.77 5
52.99 17.48 4
50.35 18.2 64
54.24 16.89 3
51.28 17.98 14
54.08 21.38 27
49.9 19.22 18
50.88 20.62 20
50.08 18.01 6
53.61 19.26 2
52.37 18.18 4
52.58 23.32 1
50.98 18.22 25
52.63 17.43 2
50.91 18.94 13
52.25 18.92 6
50.44 16.65 27
50.22 18.67 39
53.31 22.92 2
51.7 17.23 3
52.33 21.2 19
51.65 22.45 3
50.25 21.77 9
53.41 21.93 10
50.65 18.39 3
51.75 19.8 13
49.81 21.43 1
52.2 18.63 22
54.18 15.58 44
50.77 19.69 6
52.22 18.27 79
52.08 21.12 16
51.75 19.33 17
51.2 20.42 19
50.59 21.58 2
50.5 17.6 1
53.32 17.93 11
54.17 21.14 4
52.6 22.15 2
52.39 17.22 9
52.59 14.67 17
54.19 16.18 10
52.08 16.65 24
54.12 17.98 23
52.53 19.15 3
53.15 18.9 4
50.79 15.83 11
50.6 19.16 2
51.58 21.57 17
51.82 17.46 6
51.75 15.59 9
52.24 17.1 7
53.3 16.98 3
50.06 19.94 5
50.47 17.97 17
50.54 23.22 3
50.98 23.17 19
50.92 22.22 35
51.78 16.98 4
49.68 21.77 47
52.03 15.1 11
52.25 19.17 4
51.7 17.44 29
52.68 18.33 9
54.38 19.44 1
49.41 20.96 10
53.27 23.77 2
50.02 18.13 2
50.97 18.73 4
50.13 19.63 10
51.97 16.82 1
52.88 16.01 6
52.07 17.23 2
50.43 16.23 10
50.96 21.28 3
52.23 19.37 46
50.2 18.31 5
53.74 18.93 38
50.34 16.88 5
52.4 20.95 52
51.22 16.17 10
49.47 22.33 5
51.85 16.57 64
51.02 15.27 4
50.43 18.18 2
50.75 17.62 5
50.27 22.43 14
54.54 17.75 34
50.14 19.13 16
50.1 19.32 17
53.26 19.82 8
54.12 20.58 16
49.7 20.43 14
53 14.97 4
52.85 19.17 14
51.33 12.37 2
51.16 21.66 5
50.17 23.12 12
51.12 15.3 21
51.47 22.6 22
53.51 19.75 9
50.7 16 6
52.4 19.16 1
51.4 16.2 74
51.25 22.57 34
50.68 18.68 24
52.52 15.25 1
51.03 15.51 1
52.33 16.88 29
52.54 18.84 3
51.79 14.97 14
52.45 16.18 2
51.12 15.58 9
52.95 17.91 4
50.07 22.23 18
52.98 22.88 16
53.52 19.08 3
51.59 19.13 18
51.79 21.59 4
50.53 23.73 2
50.15 18.85 22
50.43 19.39 7
54.76 17.56 3
51.3 22.88 20
52.05 19.2 15
51.54 14.74 2
53.63 15.62 10
53.27 17.25 3
52.53 21.71 6
52.33 20.88 16
53.17 22.08 63
52.21 22.72 7
52.1 19.93 29
51.78 19.47 73
51.93 22.38 30
52.87 21.1 9
49.73 19.68 5
54.03 19.03 38
50.81 20.27 3
51.56 15.45 3
52.97 17.09 2
52.33 21.1 26
53.48 15.07 3
50.5 18.94 7
54.02 16.98 10
53.04 23.6 3
50.36 20.03 11
51.66 16.95 3
50.28 21.43 60
50.67 16.19 4
52.78 14.48 3
51.4 17.67 2
52.6 15.89 10
50.15 16.67 2
51.98 22.78 17
52.45 15.59 18
53.93 14.45 5
53.8 21.57 3
50.17 18.9 39
51.53 17.97 1
52.12 20.67 16
51.53 17.28 11
54.01 20.07 2
53.77 19.83 2
52.21 17.48 3
52.18 21.57 38
53.34 16.09 2
50.97 15.38 4
53.12 20.37 29
54.19 19.73 1
51.69 20.72 2
52.65 17.95 12
53.4 22.82 10
53.92 19.93 13
52.21 22.51 1
52.86 14.39 1
52.25 16.85 12
53.87 21.3 21
53.24 17.6 4
49.68 20.08 7
51.97 20.53 6
52.58 17.01 10
49.36 20.9 4
50.23 19.13 74
50.58 19.33 32
53.38 21.35 2
49.83 19.93 18
52.92 14.87 11
53.14 17.59 19
51.28 22.22 4
51.07 17.71 16
50.35 23.33 2
52.6 20.8 7
52.36 17.41 3
53.36 20.42 14
50.72 16.83 3
50.63 17.6 6
50.03 20.22 9
52.84 18.9 1
50.53 22.13 15
50.43 21.77 11
50.58 16.5 23
50.32 22.32 6
51.8 15.72 39
53.65 18.73 6
50.14 20.38 1
51.68 15.73 2
53.42 19.58 11
51.62 20.58 3
51.71 17.99 4
53.72 14.27 1
53.67 15.12 16
51.2 15.39 4
53.23 21.88 2
51.8 15.23 5
54.22 19.12 9
52.43 20.68 27
49.63 20.69 84
54.14 19.01 4
49.47 20.02 33
52.32 16.13 14
49.92 20.45 2
50.47 17.33 46
52.65 16.82 18
51.3 16.9 8
52.71 16.53 2
51.57 17.67 5
50.45 19.52 4
53.53 16.85 3
54.04 22.5 16
50.88 18.42 9
50.17 23.03 3
51.2 17.38 36
50.28 19.56 36
53.78 20.5 17
53.58 20.28 7
51.07 15.39 4
50.93 17.3 31
52.31 16.41 9
50.81 21.42 6
51.38 20.29 22
50.67 17.93 12
51.15 21.97 8
54.11 20.13 9
50.15 18.75 19
53.81 21.95 5
51.91 16.68 2
50.52 21.44 2
53.08 21.57 53
52.63 16.47 1
50.93 21.4 71
53.7 19.97 33
51.49 22.86 2
52.8 21.9 22
51.65 17.82 72
51.43 17.93 14
52.45 14.88 3
50.05 19.23 39
50.47 17.17 5
52.12 21.27 44
50.67 18.21 9
51.97 19.28 20
50.89 21.67 4
52.21 20.8 8
51.65 19.38 68
50.45 17 7
51.15 19 6
52.81 18.08 5
51.63 22.87 10
54.05 19.67 12
53.65 20.79 2
53.93 18.7 8
53.04 15.3 2
52.07 21.02 42
51.13 22.84 2
52.18 20.85 22
50.86 15.62 6
50.38 18.95 58
54.22 20.12 2
51.25 15.05 5
50.72 16.58 9
51.96 21.53 4
50.47 19.66 1
49.73 13.37 4
53.15 16.73 74
50.68 16.75 6
50.53 20.53 11
51.48 21.45 19
52.55 18.5 4
51.4 19.68 77
53.62 21.8 19
49.44 20.71 5
51.9 17.79 17
52.55 19.7 12
52.63 20.38 22
53.81 15.26 4
52.52 16.27 7
52.48 17.27 8
51.9 18.97 7
52.12 20.73 3
51.82 17.23 2
50.4 16.52 6
54.12 16.69 2
53.55 14.57 33
51.5 16.07 22
50.43 21.28 8
53.77 16.09 8
51.18 22.07 9
51.76 16.82 2
50.49 19.33 8
52.41 16.92 5
53.76 19.2 8
51.05 18.45 7
51.27 16.37 3
50.19 20.29 6
50.58 17.87 2
49.91 22.52 3
50.32 17.58 22
51.37 16.96 2
54.27 18.63 26
52.17 20.8 56
53.02 20.88 16
50.19 21.48 1
51.08 19.88 3
52.28 18.9 1
51.52 15.8 6
49.78 22.77 66
50.07 22.5 15
51.36 20.63 6
49.98 18.94 25
50.04 18.4 14
54.7 18.4 11
51.42 21.97 48
52.7 21.08 19
52.28 16.85 9
53.14 14.89 12
50.4 18.63 19
52.17 17.68 3
49.62 19.97 13
52.78 20.12 4
50.09 18.22 56
50.5 16.4 2
50.05 18.48 17
50.08 20.85 2
51.4 21.16 22
51.07 19.45 48
50.19 21.27 3
49.95 22.82 5
52.63 18.52 5
50.4 18.9 17
52.42 21.18 9
53.39 18.94 1
51.78 22.62 16
53.73 22.69 1
52.14 16.27 3
51.72 17.73 2
51.77 20.25 17
51.61 16.86 21
53.26 15.55 2
54.61 18.35 20
51.12 23.25 4
53.8 15.4 4
54.05 21.16 4
52.75 17 11
50.08 21.63 15
52.88 21.39 2
53.64 21.55 4
50.26 18.85 14
50.44 22.24 6
54.57 18.39 46
50.08 18.55 14
52.07 18.17 2
50.06 18.42 21
51.8 16.67 2
49.88 21.13 2
51.62 21.93 9
49.57 21.88 3
53.94 21.55 2
53.07 19.45 16
52.35 14.83 6
50.03 22 17
51.66 19.46 3
50.68 21.75 24
49.55 22.22 39
54.12 23.37 5
52.51 21.07 4
50.58 20.07 6
50.07 21.7 7
54.27 21 2
53.45 17.53 9
54.23 16.3 6
51.04 17.15 4
52.17 22.27 77
50.33 19.03 70
52.43 22.86 14
50.18 22.61 2
51.6 18.75 43
52.65 16.08 6
52.88 19.67 18
50.47 19.23 5
50.33 20.42 1
50.23 19.85 3
54.07 18.45 6
51.31 21.25 4
51.12 20.85 47
49.98 19.83 23
52.87 19.35 3
51.95 20.14 49
49.8 18.79 14
52.67 17.16 4
53.8 18.53 3
52.6 15.5 10
51.88 16.08 3
50.3 19.39 6
54.36 16.68 13
50.24 20.08 4
52.35 14.56 16
52.3 17.87 13
54.47 17.03 9
50.9 16.74 6
52.23 20.24 37
50.23 22.12 3
52.41 22.25 18
53.4 23.5 18
53.08 18.23 15
52.4 18.5 3
54.43 18.55 38
50.3 19.17 21
50.27 18.53 1
50.58 22.05 63
51.05 21.07 51
53.34 15.04 69
53.97 18.53 48
49.56 20.64 9
50.56 21.17 15
53.38 22.15 2
51.92 18.11 1
51.15 20.55 5
52.28 16.71 5
51.96 21.97 2
50.3 16.88 6
49.92 18.76 3
51.9 19.61 3
50.96 16.34 16
52.88 15.53 10
50.51 18.3 19
50.78 17.07 12
52.63 18.17 5
49.88 21.78 8
49.74 19.59 9
53.28 15.32 1
51.05 20.83 8
53.58 23.1 2
52.08 15.62 17
51.35 19.88 6
52.24 21.28 19
52.45 15.12 10
51.6 17.53 2
49.84 19.8 6
53.21 23.34 4
52.96 22.96 1
53.72 19.34 5
54.08 22.93 69
52.41 17.07 30
51.31 17.72 10
51.7 18.98 2
53.03 17.12 4
52.61 16.58 18
49.42 20.48 6
50.8 16.25 5
50.68 22.97 5
53.44 14.54 4
53.72 16.68 3
50.63 19.83 3
50.31 21.07 4
53.57 22.29 3
49.72 19.03 5
50.42 16.43 5
53.57 20.98 24
52.87 22.54 2
50.83 15.53 6
51.72 16.25 1
51.57 15.5 12
53.92 19.03 9
53.02 17.75 9
51.23 20.85 11
51.41 16.42 5
52.37 18.3 3
52.01 16.52 5
52.08 17.02 29
51.16 16.6 8
52.23 17.28 22
49.93 19.95 2
50.84 16.49 59
51.22 22.7 39
53.78 15.77 15
50.85 16.32 22
52.25 15.53 21
53.42 18.43 25
50.91 15.33 4
51.02 15.9 2
50.29 18.92 53
53.91 14.25 40
51.98 20.83 3
50.58 21.68 49
50.36 22.74 3
50.45 18.87 60
50.01 20.99 11
54.1 18.72 60
52.08 23.57 5
52.43 21.45 7
54.32 19.53 2
50.45 23.42 19
51.53 20.01 65
53.03 18.62 20
52.31 15.08 2
50.45 18.52 3
53.04 16.46 16
52.37 15.88 2
52.97 14.61 2
54.06 15.28 10
50.17 19.48 20
51.31 17.06 12
52.56 17.83 7
53.6 17.85 13
49.9 21.05 6
53.19 16.15 1
52.07 18.28 3
52.01 18.49 28
51.61 19.53 7
51.36 17.47 6
53.93 16.26 2
50.13 18.98 12
49.97 22.03 3
53.2 22.77 1
50.62 23.71 2
50.39 18.35 1
53.07 16.73 3
50.5 22.27 1
51.97 18.8 2
54.58 16.87 16
49.72 18.82 15
49.43 22.6 9
49.88 19.5 19
50.78 16.28 12
53.27 16.47 25
51.78 21.2 11
51.7 18.63 3
53.21 23.2 9
53.28 18.95 13
51.07 21.01 2
52.81 17.21 25
51.55 16.7 2
54.6 18.25 47
51.29 15.23 2
54.22 21.75 11
53.54 15.56 3
52.4 22.02 12
50.82 17.2 2
52.89 16.17 5
52.12 16.35 1
49.98 20.06 20
51.22 18.57 23
51.3 18.15 8
53.35 17.49 5
49.92 19.15 2
49.65 18.87 11
52.44 17.77 7
52.68 14.89 6
51.02 15.67 1
54.83 18.32 15
52.65 19.05 11
51.55 23.55 13
50.85 19.97 10
50 18.45 49
50.95 15.92 3
50.36 19.04 9
49.97 20.83 3
51.5 19.83 2
50.39 19.76 8
53.84 14.61 4
52.12 16.12 13
51.02 18.06 6
52.34 21.24 37
51.34 16.63 12
50.63 19.06 4
51.11 17.02 6
52.7 16.38 11
52.33 17.58 29
51.8 16.3 14
53.15 17.27 5
53.17 17.1 2
52.92 22.51 9
52.59 21.46 27
52.39 20.19 2
51.62 20.81 0
53.02 23.33 2
50.3 18.78 1
52.17 17.89 2
49.52 22.27 5
49.85 20.82 1
49.3 19.95 26
52.43 20.62 3
53.85 19.61 2
52.98 22.25 22
50.72 23.26 66
50 19.44 3
50.61 18.48 7
50.81 21.86 1
51.02 15.07 4
50.49 19.42 51
52.29 21.12 28
50.58 16.82 15
52.25 15.82 5
52.25 15.92 7
51.65 17.38 4
51.6 18.97 43
50.42 18.12 12
51.47 19.22 7
51.85 19.42 57
51.15 15.01 31
51.94 15.51 11
52.3 21.16 17
50.6 17.03 9
53.53 16.01 13
51.41 18.61 3
51.13 15.92 16
53.36 17.04 18
50.45 16.88 2
50.61 22.97 3
51.36 21.58 7
50.13 20.89 4
51.62 15.32 26
50.62 19.36 4
50.93 16.48 6
51.64 15.14 38
51.81 21.9 4
52.07 17.57 2
51.47 16.9 6
52.85 17.7 14
50.05 18.69 61
54.35 18.36 6
53.07 19.9 8
52.25 19.62 8
52.05 20.45 41
49.69 19.21 32
52.23 21.01 0
